mouse_id,sex,order,phase,param,day,value
FEDXB05,F,2.0,PR,meal_freq_per_day,4,2.0833333333333335
FEDXB05,F,2.0,PR,meal_freq_per_day,5,1.9583333333333333
FEDXB05,F,2.0,PR,meal_freq_per_day,6,2.0416666666666665
FEDXB05,F,2.0,PR,meal_freq_per_day,7,1.7916666666666667
FEDXB06,F,2.0,PR,meal_freq_per_day,1,1.7083333333333333
FEDXB06,F,2.0,PR,meal_freq_per_day,2,1.4166666666666667
FEDXB06,F,2.0,PR,meal_freq_per_day,3,2.375
FEDXB06,F,2.0,PR,meal_freq_per_day,4,2.2083333333333335
FEDXB06,F,2.0,PR,meal_freq_per_day,5,2.4166666666666665
FEDXB06,F,2.0,PR,meal_freq_per_day,6,2.125
FEDXB06,F,2.0,PR,meal_freq_per_day,7,1.4583333333333333
FEDXB07,F,1.0,PR,meal_freq_per_day,1,1.75
FEDXB07,F,1.0,PR,meal_freq_per_day,2,1.6666666666666667
FEDXB07,F,1.0,PR,meal_freq_per_day,3,2.5833333333333335
FEDXB07,F,1.0,PR,meal_freq_per_day,4,2.25
FEDXB07,F,1.0,PR,meal_freq_per_day,5,2.4583333333333335
FEDXB07,F,1.0,PR,meal_freq_per_day,6,2.9166666666666665
FEDXB07,F,1.0,PR,meal_freq_per_day,7,2.9166666666666665
FEDXB08,F,1.0,PR,meal_freq_per_day,1,1.2916666666666667
FEDXB08,F,1.0,PR,meal_freq_per_day,2,1.375
FEDXB08,F,1.0,PR,meal_freq_per_day,3,1.0833333333333333
FEDXB08,F,1.0,PR,meal_freq_per_day,4,0.7083333333333334
FEDXB08,F,1.0,PR,meal_freq_per_day,5,1.0
FEDXB08,F,1.0,PR,meal_freq_per_day,6,1.5416666666666667
FEDXB08,F,1.0,PR,meal_freq_per_day,7,1.5416666666666667
FEDXB10,F,1.0,PR,meal_freq_per_day,1,2.4166666666666665
FEDXB10,F,1.0,PR,meal_freq_per_day,2,3.4583333333333335
FEDXB10,F,1.0,PR,meal_freq_per_day,3,2.875
FEDXB10,F,1.0,PR,meal_freq_per_day,4,2.375
FEDXB10,F,1.0,PR,meal_freq_per_day,5,1.7916666666666667
FEDXB10,F,1.0,PR,meal_freq_per_day,6,2.4166666666666665
FEDXB10,F,1.0,PR,meal_freq_per_day,7,2.5833333333333335
FEDXB11,F,1.0,PR,meal_freq_per_day,1,1.4583333333333333
FEDXB11,F,1.0,PR,meal_freq_per_day,2,1.5833333333333333
FEDXB11,F,1.0,PR,meal_freq_per_day,3,1.4166666666666667
FEDXB11,F,1.0,PR,meal_freq_per_day,4,1.625
FEDXB11,F,1.0,PR,meal_freq_per_day,5,1.4166666666666667
FEDXB11,F,1.0,PR,meal_freq_per_day,6,1.7083333333333333
FEDXB11,F,1.0,PR,meal_freq_per_day,7,1.8333333333333333
FEDXB12,F,1.0,PR,meal_freq_per_day,1,0.7916666666666666
FEDXB12,F,1.0,PR,meal_freq_per_day,2,0.875
