"contrast","hour","estimate","SE","df","t.ratio","p.value"
"NR M order1 - PR M order2","6",-4.35762537165374e-14,0.164700027350405,247.070802102288,-2.64579517183852e-13,1
"PR M order1 - NR F order2","6",0.0238095238095252,0.164700027350405,247.070802102302,0.14456296208664,1
"PR M order1 - PR F order2","6",0.0714285714285725,0.164700027350405,247.070802102297,0.433688886259902,1
"PR M order1 - NR M order2","6",-0.166666666666711,0.164700027350405,247.070802102293,-1.01194073460669,1
"PR M order1 - PR M order2","6",-0.0952380952381393,0.164700027350405,247.070802102293,-0.578251848346795,1
"NR F order2 - PR F order2","6",0.0476190476190473,0.143649024731934,892.999999999968,0.33149579475329,1
"NR F order2 - NR M order2","6",-0.190476190476236,0.164700027350405,247.070802102297,-1.15650369669333,1
"NR F order2 - PR M order2","6",-0.119047619047664,0.164700027350405,247.070802102302,-0.722814810433434,1
"PR F order2 - NR M order2","6",-0.238095238095283,0.164700027350405,247.070802102293,-1.44562962086659,1
"PR F order2 - PR M order2","6",-0.166666666666712,0.164700027350405,247.070802102293,-1.0119407346067,1
"NR M order2 - PR M order2","6",0.0714285714285716,0.143649024731934,892.999999999968,0.497243692129938,1
"NR F order1 - PR F order1","7",0.171428571428573,0.157359622418595,892.99999999991,1.08940634702689,1
"NR F order1 - NR M order1","7",0.128571428571613,0.17273884597897,247.07080210228,0.744311031157784,1
"NR F order1 - PR M order1","7",0.00952380952399448,0.17273884597897,247.07080210228,0.0551341504571238,1
"NR F order1 - NR F order2","7",0.0809523809525669,0.17273884597897,247.07080210228,0.468640278877527,1
"NR F order1 - PR F order2","7",0.128571428571615,0.172738845978971,247.07080210228,0.744311031157792,1
"NR F order1 - NR M order2","7",-0.18095238095224,0.17273884597897,247.070802102271,-1.04754885866419,1
"NR F order1 - PR M order2","7",0.0571428571429981,0.172738845978971,247.070802102271,0.330804902737134,1
"PR F order1 - NR M order1","7",-0.0428571428569594,0.17273884597897,247.070802102275,-0.248103677051177,1
"PR F order1 - PR M order1","7",-0.161904761904578,0.17273884597897,247.07080210228,-0.937280557751837,1
