Mouse_ID,Order,Sex,Diet_Phase,Current_Size,Next_Size,Time_Gap
FEDXA01,2,M,PR,1,1,8.766666666666424
FEDXA01,2,M,PR,1,1,4.050000000000182
FEDXA01,2,M,PR,1,1,3.699999999999818
FEDXA01,2,M,PR,1,1,11.566666666666606
FEDXA01,2,M,PR,1,1,2.5
FEDXA01,2,M,PR,1,1,11.033333333333758
FEDXA01,2,M,PR,1,5,3.633333333333212
FEDXA01,2,M,PR,5,1,6.866666666666788
FEDXA01,2,M,PR,1,1,10.699999999999818
FEDXA01,2,M,PR,1,3,5.650000000000546
FEDXA01,2,M,PR,3,1,7.916666667
FEDXA01,2,M,PR,1,1,2.699999999999818
FEDXA01,2,M,PR,1,2,8.100000000000364
FEDXA01,2,M,PR,2,1,4.350000000000364
FEDXA01,2,M,PR,1,2,9.266666666666424
FEDXA01,2,M,PR,2,1,5.800000000000182
FEDXA01,2,M,PR,1,3,11.766666666666424
FEDXA01,2,M,PR,3,1,6.166666667
FEDXA01,2,M,PR,1,4,16.883333333333212
FEDXA01,2,M,PR,4,1,1.8499999999994543
FEDXA01,2,M,PR,1,2,2.0166666666673336
FEDXA01,2,M,PR,2,1,5.799999999999272
FEDXA01,2,M,PR,1,3,2.433333333333394
FEDXA01,2,M,PR,3,1,6.450000000000728
FEDXA01,2,M,PR,1,1,15.366666666665878
FEDXA01,2,M,PR,1,1,6.75
FEDXA01,2,M,PR,1,1,4.700000000000728
FEDXA01,2,M,PR,1,1,6.916666667
FEDXA01,2,M,PR,1,6,6.983333333333576
FEDXA01,2,M,PR,6,1,5.683333333333394
FEDXA01,2,M,PR,1,5,16.699999999999818
FEDXA01,2,M,PR,5,1,34.46666666666715
FEDXA01,2,M,PR,1,1,7.399999999999636
FEDXA01,2,M,PR,1,1,2.766666666666424
FEDXA01,2,M,PR,1,2,2
FEDXA01,2,M,PR,2,1,7.316666666666606
FEDXA01,2,M,PR,1,1,5.883333333333212
FEDXA01,2,M,PR,1,2,3.0666666666675155
FEDXA01,2,M,PR,2,1,2.0333333333328483
FEDXA01,2,M,PR,1,1,5.166666667
FEDXA01,2,M,PR,1,1,3.683333333333394
FEDXA01,2,M,PR,1,1,12.366666666666788
FEDXA01,2,M,PR,1,1,2.9666666666662422
FEDXA01,2,M,PR,1,1,4.433333333333394
FEDXA01,2,M,PR,2,1,6.383333333333212
FEDXA01,2,M,PR,2,1,24.300000000000182
FEDXA01,2,M,PR,1,1,5.533333333332848
FEDXA01,2,M,PR,1,5,13.483333333333576
FEDXA01,2,M,PR,5,1,5.816666666666606
FEDXA01,2,M,PR,1,2,51.78333333333376
FEDXA01,2,M,PR,2,3,1.5999999999994543
FEDXA01,2,M,PR,3,2,2.7166666666671517
FEDXA01,2,M,PR,2,1,1.383333333333212
FEDXA01,2,M,PR,1,1,11.5
