
	Pairwise comparisons using t tests with pooled SD 

data:  combined_data$pr_hourly_pellet_intake and interaction(combined_data$group, combined_data$hour) 

                  Female_Order_1.0 Female_Order_2.0 Male_Order_1.0
Female_Order_2.11 1.00000          1.00000          1.00000       
Male_Order_1.11   1.00000          1.00000          1.00000       
Male_Order_2.11   1.00000          1.00000          1.00000       
Female_Order_1.12 1.00000          0.32247          1.00000       
Female_Order_2.12 1.00000          0.04055          0.23360       
Male_Order_1.12   1.00000          0.58223          1.00000       
Male_Order_2.12   1.00000          0.18803          0.92829       
Female_Order_1.13 0.00073          1.4e-07          1.7e-06       
Female_Order_2.13 8.7e-09          5.1e-14          1.3e-12       
Male_Order_1.13   6.7e-06          2.0e-10          3.6e-09       
Male_Order_2.13   3.6e-06          9.2e-11          1.7e-09       
Female_Order_1.14 1.2e-07          2.5e-12          4.7e-11       
Female_Order_2.14 1.9e-10          4.9e-16          1.4e-14       
Male_Order_1.14   1.7e-09          6.8e-15          1.8e-13       
Male_Order_2.14   1.0e-10          2.3e-16          6.8e-15       
Female_Order_1.15 1.2e-11          < 2e-16          1.1e-15       
Female_Order_2.15 2.8e-10          7.6e-16          2.2e-14       
Male_Order_1.15   1.9e-06          4.2e-11          8.1e-10       
Male_Order_2.15   8.4e-12          < 2e-16          3.6e-16       
Female_Order_1.16 2.3e-06          9.7e-11          1.6e-09       
Female_Order_2.16 9.3e-10          3.3e-15          9.0e-14       
Male_Order_1.16   9.5e-05          5.9e-09          9.1e-08       
Male_Order_2.16   2.3e-11          < 2e-16          1.2e-15       
Female_Order_1.17 0.00392          1.3e-06          1.4e-05       
Female_Order_2.17 8.6e-05          5.2e-09          8.1e-08       
Male_Order_1.17   0.06300          3.4e-05          0.00033       
Male_Order_2.17   1.6e-08          1.0e-13          2.5e-12       
Female_Order_1.18 8.9e-05          9.6e-09          1.3e-07       
Female_Order_2.18 7.1e-05          4.1e-09          6.4e-08       
Male_Order_1.18   0.26279          0.00025          0.00210       
Male_Order_2.18   0.00022          1.7e-08          2.6e-07       
Female_Order_1.19 1.00000          0.02132          0.12030       
Female_Order_2.19 1.00000          0.07009          0.38400       
Male_Order_1.19   1.00000          1.00000          1.00000       
Male_Order_2.19   1.00000          0.01956          0.12033       
Female_Order_1.20 1.00000          0.32247          1.00000       
Female_Order_2.20 1.00000          1.00000          1.00000       
Male_Order_1.20   1.00000          1.00000          1.00000       
Male_Order_2.20   1.00000          1.00000          1.00000       
Female_Order_1.21 1.00000          1.00000          1.00000       
Female_Order_2.21 1.00000          1.00000          1.00000       
Male_Order_1.21   1.00000          1.00000          1.00000       
Male_Order_2.21   1.00000          1.00000          1.00000       
Female_Order_1.22 1.00000          1.00000          1.00000       
Female_Order_2.22 1.00000          1.00000          1.00000       
Male_Order_1.22   1.00000          1.00000          1.00000       
Male_Order_2.22   1.00000          1.00000          1.00000       
Female_Order_1.23 1.00000          0.00411          0.02608       
Female_Order_2.23 0.22957          0.00020          0.00175       
Male_Order_1.23   1.00000          1.00000          1.00000       
Male_Order_2.23   1.00000          0.07009          0.38400       
