"Sex","Order","Phase","Hour","mean_meals","sd_meals","mean_snacks","sd_snacks","mean_mega_meals","sd_mega_meals"
"M","1","PR","8",0.261904761904762,0.167006456350002,0.0952380952380952,0.173008591662714,0.452380952380952,0.228868854108532
"M","1","PR","9",0.452380952380952,0.277255745295422,0.19047619047619,0.215077900774023,0.428571428571429,0.18070158058105
"M","1","PR","10",0.666666666666667,0.524242245505634,0.357142857142857,0.540219154319687,0.333333333333333,0.173008591662714
"M","1","PR","11",0.571428571428571,0.127775312999988,0.261904761904762,0.167006456350002,0.714285714285714,0.221313334068995
"M","1","PR","12",1.02380952380952,0.514417972411672,0.523809523809524,0.617213399848368,0.928571428571429,0.196914982172717
"M","1","PR","13",3.52380952380952,0.992488797722897,2.38095238095238,1.70872112738049,0.357142857142857,0.509100848034442
"M","1","PR","14",3.5,1.41637652090805,1.5,1.54325391723502,0.857142857142857,0.460700442759917
"M","1","PR","15",2.92857142857143,1.30540477732122,1.30952380952381,1.25654747806275,0.833333333333333,0.262121122752817
"M","1","PR","16",2.5952380952381,1.04360703632091,0.952380952380952,0.841120082507414,0.714285714285714,0.3614031611621
"M","1","PR","17",1.88095238095238,0.810223787008265,1,0.564240504518043,0.880952380952381,0.277255745295422
"M","1","PR","18",1.95238095238095,1.03674005033701,1.19047619047619,0.732157375001241,0.642857142857143,0.282120252259021
"M","1","PR","19",1.07142857142857,0.449489506358636,0.761904761904762,0.379760038807179,0.595238095238095,0.318371707627558
"M","1","PR","20",0.833333333333333,0.437214435471925,0.214285714285714,0.196914982172717,0.857142857142857,0.285714285714286
"M","1","PR","21",0.833333333333333,0.418126693686004,0.285714285714286,0.221313334068995,0.571428571428571,0.299659670905758
"M","1","PR","22",0.904761904761905,0.448732151976752,0.333333333333333,0.233284737407922,0.571428571428571,0.127775312999988
"M","1","PR","23",1.30952380952381,0.60215034170347,1.07142857142857,0.611121418177355,0.428571428571429,0.221313334068995
"M","2","NR","0",0.904761904761905,0.554511490590843,0.619047619047619,0.265985524643218,0.571428571428571,0.433307168231517
"M","2","NR","1",0.333333333333333,0.250170010220261,0.30952380952381,0.277255745295422,0.571428571428571,0.361403161162101
"M","2","NR","2",1.0952380952381,0.308606699924184,0.69047619047619,0.398124856496733,0.380952380952381,0.346017183325428
"M","2","NR","3",1.04761904761905,0.280912022928621,0.785714285714286,0.770634511957782,0.642857142857143,0.484452141651805
"M","2","NR","4",0.595238095238095,0.490036788845255,0.214285714285714,0.0782460796435952,0.738095238095238,0.387737199729948
"M","2","NR","5",0.476190476190476,0.173008591662714,0.285714285714286,0.221313334068995,0.785714285714286,0.234738238930785
"M","2","NR","6",0.0714285714285714,0.0782460796435952,0.166666666666667,0.107538950387012,0.30952380952381,0.246057346338358
"M","2","NR","7",0.19047619047619,0.195180014589707,0.19047619047619,0.346017183325428,0.428571428571429,0.285714285714286
"M","2","NR","8",0.238095238095238,0.321560819354936,0.0476190476190476,0.0737711113563317,0.333333333333333,0.233284737407922
"M","2","NR","9",0.238095238095238,0.233284737407922,0.119047619047619,0.228868854108532,0.261904761904762,0.167006456350002
"M","2","NR","10",0.261904761904762,0.189880019403589,0.0714285714285714,0.119522860933439,0.452380952380952,0.167006456350002
"M","2","NR","11",0.428571428571429,0.299659670905758,0.166666666666667,0.228868854108532,0.785714285714286,0.251525955166557
"M","2","NR","12",1.19047619047619,0.726561185628977,0.19047619047619,0.147542222712663,0.857142857142857,0.526831111845308
"M","2","NR","13",3.33333333333333,1.35124029696278,1.9047619047619,0.420560041253707,1.04761904761905,0.390360029179413
"M","2","NR","14",1.95238095238095,1.03674005033701,1.4047619047619,0.887172378927553,2.19047619047619,0.831358203535055
"M","2","NR","15",1.66666666666667,0.911006022367095,1.64285714285714,0.770634511957782,1.88095238095238,0.684622146145739
"M","2","NR","16",1.14285714285714,0.619413811105109,1,0.663940002206986,2.02380952380952,0.560004859065411
"M","2","NR","17",1.28571428571429,0.818161203615792,0.761904761904762,0.448732151976752,1.92857142857143,0.517056030595825
"M","2","NR","18",1.14285714285714,0.943289943955382,0.595238095238095,0.107538950387012,1.5952380952381,0.50642135128173
"M","2","NR","19",0.452380952380952,0.305282293806183,0.285714285714286,0.221313334068995,1.19047619047619,0.492114692676717
"M","2","NR","20",0.619047619047619,0.346017183325428,0.404761904761905,0.377063483711031,0.952380952380952,0.308606699924184
"M","2","NR","21",0.452380952380952,0.581459575632939,0.214285714285714,0.174963553055941,0.80952380952381,0.215077900774023
"M","2","NR","22",0.380952380952381,0.295084445425327,0.30952380952381,0.277255745295422,0.761904761904762,0.250170010220261
"M","2","NR","23",0.904761904761905,0.643121638709872,0.547619047619048,0.318371707627558,1.02380952380952,0.560004859065411
"M","2","PR","0",1.61904761904762,0.539589160922487,1.35714285714286,0.532610053780207,0.30952380952381,0.167006456350002
"M","2","PR","1",1.61904761904762,0.743223352957207,1.33333333333333,0.610564587612366,0.214285714285714,0.234738238930785
"M","2","PR","2",1.30952380952381,0.719504742743182,0.904761904761905,0.250170010220261,0.404761904761905,0.167006456350002
"M","2","PR","3",0.952380952380952,0.576170798562064,0.80952380952381,0.215077900774023,0.333333333333333,0.173008591662714
"M","2","PR","4",0.952380952380952,0.590168890850654,0.452380952380952,0.246057346338358,0.357142857142857,0.234738238930785
"M","2","PR","5",0.785714285714286,0.149829835452879,0.380952380952381,0.215077900774023,0.380952380952381,0.116642368703961
"M","2","PR","6",0.261904761904762,0.210280020626853,0.19047619047619,0.116642368703961,0.333333333333333,0.250170010220261
"M","2","PR","7",0.5,0.174963553055941,0.333333333333333,0.215077900774023,0.238095238095238,0.147542222712663
"M","2","PR","8",0.214285714285714,0.234738238930785,0.214285714285714,0.149829835452879,0.404761904761905,0.277255745295422
"M","2","PR","9",0.642857142857143,0.430945803685667,0.357142857142857,0.449489506358636,0.238095238095238,0.195180014589707
"M","2","PR","10",0.69047619047619,0.189880019403589,0.30952380952381,0.228868854108532,0.30952380952381,0.167006456350002
"M","2","PR","11",0.785714285714286,0.29623487647611,0.547619047619048,0.354753914898841,0.380952380952381,0.250170010220261
"M","2","PR","12",2.02380952380952,0.473085112648373,1.0952380952381,0.116642368703961,0.476190476190476,0.116642368703961
"M","2","PR","13",3.66666666666667,1.36924429229148,4.04761904761905,0.933138949631687,0.214285714285714,0.251525955166557
