"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","NR","hour","9","13",0,1.85714285714286,-0.621127943925008,4.33541365821072,0.445,"ns"
"F","1","NR","hour","9","14",0,1.88571428571428,-0.59255651535358,4.36398508678215,0.415,"ns"
"F","1","NR","hour","9","15",0,1.51428571428571,-0.963985086782151,3.99255651535358,0.812,"ns"
"F","1","NR","hour","9","16",0,1.22857142857143,-1.24969937249644,3.70684222963929,0.971,"ns"
"F","1","NR","hour","9","17",0,1.17142857142857,-1.30684222963929,3.64969937249644,0.983,"ns"
"F","1","NR","hour","9","18",0,0.571428571428571,-1.90684222963929,3.04969937249644,1,"ns"
"F","1","NR","hour","9","19",0,0.485714285714285,-1.99255651535358,2.96398508678215,1,"ns"
"F","1","NR","hour","9","20",0,-0.0285714285714286,-2.50684222963929,2.44969937249644,1,"ns"
"F","1","NR","hour","9","21",0,0.285714285714285,-2.19255651535358,2.76398508678215,1,"ns"
"F","1","NR","hour","9","22",0,0.285714285714285,-2.19255651535358,2.76398508678215,1,"ns"
"F","1","NR","hour","9","23",0,0.657142857142856,-1.82112794392501,3.13541365821072,1,"ns"
"F","1","NR","hour","10","11",0,0.142857142857143,-2.33541365821072,2.62112794392501,1,"ns"
"F","1","NR","hour","10","12",0,0.171428571428572,-2.30684222963929,2.64969937249644,1,"ns"
"F","1","NR","hour","10","13",0,1.97142857142857,-0.506842229639294,4.44969937249644,0.329,"ns"
"F","1","NR","hour","10","14",0,2,-0.478270801067866,4.47827080106786,0.302,"ns"
"F","1","NR","hour","10","15",0,1.62857142857143,-0.849699372496436,4.10684222963929,0.701,"ns"
