MouseID,Phase,Start_Time,End_Time,Duration_Minutes,Number_of_Pellets
FEDXA05,NR,5/9/2022 2:53,5/9/2022 2:55,2.55,11
FEDXA05,NR,5/10/2022 3:34,5/10/2022 3:37,2.72,12
FEDXA06,GRAIN,4/24/2022 22:40,4/24/2022 22:43,2.83,11
FEDXA06,GRAIN,4/24/2022 23:19,4/24/2022 23:21,2.43,12
FEDXA06,GRAIN,4/25/2022 22:51,4/25/2022 22:52,0.83,12
FEDXA06,GRAIN,4/25/2022 23:07,4/25/2022 23:09,1.7,12
FEDXA06,GRAIN,4/26/2022 0:28,4/26/2022 0:30,1.85,10
FEDXA06,GRAIN,4/26/2022 0:44,4/26/2022 0:45,1.75,10
FEDXA06,GRAIN,4/26/2022 2:35,4/26/2022 2:37,1.98,12
FEDXA06,GRAIN,4/26/2022 3:28,4/26/2022 3:30,1.88,10
FEDXA06,GRAIN,4/26/2022 3:33,4/26/2022 3:35,1.82,10
FEDXA06,GRAIN,4/26/2022 3:43,4/26/2022 3:44,1.28,10
FEDXA06,GRAIN,4/26/2022 5:01,4/26/2022 5:03,1.97,10
FEDXA06,GRAIN,4/26/2022 6:57,4/26/2022 6:58,0.7,10
FEDXA06,NR,5/3/2022 21:22,5/3/2022 21:26,3.15,11
FEDXA06,NR,5/5/2022 5:49,5/5/2022 5:52,2.7,15
FEDXA06,NR,5/9/2022 1:01,5/9/2022 1:02,1.75,12
FEDXA06,NR,5/9/2022 2:58,5/9/2022 3:00,2.07,10
FEDXA07,GRAIN,4/23/2022 11:11,4/23/2022 11:13,2.3,11
FEDXA07,GRAIN,4/23/2022 17:05,4/23/2022 17:07,1.72,10
FEDXA07,GRAIN,4/23/2022 22:19,4/23/2022 22:21,1.63,10
FEDXA07,GRAIN,4/24/2022 2:59,4/24/2022 3:02,2.95,15
FEDXA07,GRAIN,4/24/2022 13:41,4/24/2022 13:43,1.9,12
FEDXA07,GRAIN,4/24/2022 16:12,4/24/2022 16:14,2.02,12
FEDXA07,GRAIN,4/24/2022 23:04,4/24/2022 23:05,1.68,11
FEDXA07,GRAIN,4/25/2022 0:44,4/25/2022 0:47,2.38,12
FEDXA07,GRAIN,4/25/2022 3:22,4/25/2022 3:24,1.88,11
FEDXA07,GRAIN,4/25/2022 5:07,4/25/2022 5:09,1.72,11
FEDXA07,GRAIN,4/25/2022 7:27,4/25/2022 7:29,1.9,10
FEDXA07,GRAIN,4/25/2022 22:49,4/25/2022 22:51,1.7,10
FEDXA07,GRAIN,4/26/2022 0:03,4/26/2022 0:05,1.87,11
FEDXA07,GRAIN,4/26/2022 1:37,4/26/2022 1:39,1.62,11
FEDXA07,GRAIN,4/26/2022 7:42,4/26/2022 7:44,1.52,10
FEDXA07,PR,5/4/2022 7:14,5/4/2022 7:16,2.22,10
FEDXA07,PR,5/6/2022 8:33,5/6/2022 8:35,2.85,11
FEDXA07,PR,5/7/2022 5:07,5/7/2022 5:10,2.27,10
FEDXA07,PR,5/8/2022 2:44,5/8/2022 2:46,2.35,10
FEDXA07,PR,5/8/2022 9:10,5/8/2022 9:13,2.25,10
FEDXA07,PR,5/9/2022 3:17,5/9/2022 3:19,2.35,10
FEDXA07,NR,4/26/2022 22:11,4/26/2022 22:13,2.12,10
FEDXA07,NR,4/27/2022 17:49,4/27/2022 17:51,2.47,15
FEDXA07,NR,4/28/2022 17:20,4/28/2022 17:22,2.03,10
FEDXA07,NR,5/1/2022 14:25,5/1/2022 14:27,1.57,10
FEDXA07,NR,5/1/2022 21:57,5/1/2022 21:59,1.65,10
FEDXA07,NR,5/2/2022 4:36,5/2/2022 4:38,2.03,11
FEDXA08,GRAIN,4/23/2022 10:35,4/23/2022 10:37,1.97,13
FEDXA08,GRAIN,4/23/2022 10:46,4/23/2022 10:48,2.1,11
FEDXA08,GRAIN,4/23/2022 13:09,4/23/2022 13:11,2.05,16
FEDXA08,GRAIN,4/23/2022 13:16,4/23/2022 13:17,1.65,12
FEDXA08,GRAIN,4/23/2022 13:22,4/23/2022 13:24,1.97,11
FEDXA08,GRAIN,4/23/2022 15:57,4/23/2022 15:58,1.67,11
FEDXA08,GRAIN,4/24/2022 5:42,4/24/2022 5:44,2.15,13
FEDXA08,GRAIN,4/24/2022 9:19,4/24/2022 9:21,1.65,10
FEDXA08,GRAIN,4/24/2022 16:10,4/24/2022 16:11,1.48,11
FEDXA08,GRAIN,4/24/2022 20:34,4/24/2022 20:36,1.83,13
FEDXA08,GRAIN,4/25/2022 3:40,4/25/2022 3:42,1.47,10
FEDXA08,GRAIN,4/25/2022 3:48,4/25/2022 3:49,1.13,10
FEDXA08,GRAIN,4/25/2022 16:59,4/25/2022 17:01,1.83,10
FEDXA08,GRAIN,4/25/2022 22:18,4/25/2022 22:19,1.27,11
FEDXA08,GRAIN,4/26/2022 5:01,4/26/2022 5:03,2.03,12
FEDXA08,PR,5/3/2022 21:11,5/3/2022 21:13,1.97,11
FEDXA08,PR,5/5/2022 0:10,5/5/2022 0:12,2.33,10
FEDXA08,PR,5/5/2022 3:25,5/5/2022 3:27,2.02,10
FEDXA08,PR,5/6/2022 0:03,5/6/2022 0:06,2.13,10
FEDXA08,PR,5/6/2022 23:05,5/6/2022 23:06,1.62,10
FEDXA08,PR,5/7/2022 22:34,5/7/2022 22:36,2.22,11
FEDXA08,PR,5/7/2022 23:25,5/7/2022 23:27,2.07,10
FEDXA08,PR,5/8/2022 8:35,5/8/2022 8:37,2.47,12
FEDXA08,PR,5/8/2022 23:04,5/8/2022 23:06,2.18,10
FEDXA08,PR,5/9/2022 1:13,5/9/2022 1:16,2.6,10
FEDXA08,PR,5/9/2022 2:52,5/9/2022 2:54,2.1,10
FEDXA08,PR,5/9/2022 8:23,5/9/2022 8:26,3.17,12
FEDXA08,PR,5/9/2022 22:25,5/9/2022 22:27,1.73,10
FEDXA08,NR,4/27/2022 13:50,4/27/2022 13:51,1.42,11
FEDXA08,NR,4/28/2022 2:53,4/28/2022 2:55,1.67,11
FEDXA08,NR,4/28/2022 9:50,4/28/2022 9:52,1.87,10
FEDXA08,NR,4/30/2022 11:27,4/30/2022 11:29,2.12,10
FEDXA08,NR,4/30/2022 23:29,4/30/2022 23:31,1.87,11
FEDXA08,NR,5/1/2022 10:50,5/1/2022 10:52,2.02,10
FEDXA08,NR,5/1/2022 17:50,5/1/2022 17:53,2.67,13
FEDXA08,NR,5/1/2022 19:20,5/1/2022 19:22,1.92,10
FEDXA08,NR,5/2/2022 2:30,5/2/2022 2:34,4.1,23
FEDXA08,NR,5/2/2022 10:36,5/2/2022 10:38,1.92,10
FEDXA08,NR,5/2/2022 19:03,5/2/2022 19:04,1.25,10
FEDXA08,NR,5/2/2022 23:10,5/2/2022 23:13,2.87,16
FEDXA08,NR,5/3/2022 1:34,5/3/2022 1:36,1.48,10
FEDXA08,NR,5/3/2022 2:53,5/3/2022 2:55,1.55,10
FEDXA08,NR,5/3/2022 8:48,5/3/2022 8:50,1.9,10
FEDXA09,GRAIN,4/23/2022 18:34,4/23/2022 18:37,2.97,10
FEDXA09,PR,5/9/2022 5:22,5/9/2022 5:25,2.6,10
FEDXA09,PR,5/9/2022 14:04,5/9/2022 14:07,2.55,10
FEDXA09,PR,5/10/2022 3:40,5/10/2022 3:43,3.05,13
FEDXA09,NR,4/26/2022 15:21,4/26/2022 15:24,2.37,11
FEDXA09,NR,4/28/2022 8:57,4/28/2022 9:00,2.25,10
FEDXA09,NR,4/28/2022 18:26,4/28/2022 18:28,2.35,10
FEDXA09,NR,5/1/2022 10:46,5/1/2022 10:48,2.17,10
FEDXA09,NR,5/1/2022 21:10,5/1/2022 21:12,1.75,11
FEDXA09,NR,5/1/2022 21:45,5/1/2022 21:47,1.83,13
FEDXA09,NR,5/3/2022 9:04,5/3/2022 9:07,3.48,14
FEDXA10,GRAIN,4/23/2022 22:24,4/23/2022 22:27,2.57,10
FEDXA10,GRAIN,4/24/2022 17:59,4/24/2022 18:01,2.25,11
FEDXA10,GRAIN,4/24/2022 22:19,4/24/2022 22:20,1.07,12
FEDXA10,GRAIN,4/24/2022 22:39,4/24/2022 22:40,1.17,11
FEDXA10,GRAIN,4/24/2022 23:17,4/24/2022 23:18,1.38,11
FEDXA10,GRAIN,4/25/2022 0:08,4/25/2022 0:11,2.17,14
FEDXA10,GRAIN,4/25/2022 0:35,4/25/2022 0:36,1.38,10
FEDXA10,GRAIN,4/25/2022 1:05,4/25/2022 1:08,2.8,17
FEDXA10,GRAIN,4/25/2022 22:13,4/25/2022 22:14,1.05,10
FEDXA10,GRAIN,4/25/2022 23:11,4/25/2022 23:12,1.07,10
FEDXA10,GRAIN,4/26/2022 0:48,4/26/2022 0:50,1.83,10
FEDXA10,PR,5/4/2022 23:10,5/4/2022 23:12,2.37,11
FEDXA10,PR,5/6/2022 3:17,5/6/2022 3:19,2.22,10
FEDXA10,PR,5/7/2022 22:23,5/7/2022 22:26,2.33,10
FEDXA10,PR,5/8/2022 2:52,5/8/2022 2:55,2.55,10
FEDXA10,PR,5/8/2022 4:45,5/8/2022 4:47,2.42,11
FEDXA10,PR,5/9/2022 1:46,5/9/2022 1:48,2.33,10
FEDXA10,PR,5/9/2022 5:15,5/9/2022 5:17,2.48,10
FEDXA10,NR,4/27/2022 18:15,4/27/2022 18:17,1.88,10
FEDXA10,NR,4/28/2022 5:49,4/28/2022 5:51,1.97,10
FEDXA10,NR,4/30/2022 0:22,4/30/2022 0:23,1.57,10
FEDXA10,NR,4/30/2022 1:47,4/30/2022 1:49,1.78,10
FEDXA10,NR,5/1/2022 23:32,5/1/2022 23:34,2.02,11
FEDXA10,NR,5/2/2022 22:08,5/2/2022 22:09,1.38,10
FEDXA11,GRAIN,4/24/2022 0:45,4/24/2022 0:47,2.6,12
FEDXA11,GRAIN,4/24/2022 5:04,4/24/2022 5:08,3.88,17
FEDXA11,GRAIN,4/24/2022 7:36,4/24/2022 7:38,2.72,12
FEDXA11,GRAIN,4/24/2022 8:50,4/24/2022 8:53,3.32,16
FEDXA11,GRAIN,4/24/2022 19:49,4/24/2022 19:51,2.7,14
FEDXA11,GRAIN,4/24/2022 22:31,4/24/2022 22:32,1.45,12
FEDXA11,GRAIN,4/24/2022 23:42,4/24/2022 23:44,1.83,10
FEDXA11,GRAIN,4/25/2022 4:45,4/25/2022 4:46,1.28,10
FEDXA11,GRAIN,4/25/2022 7:08,4/25/2022 7:11,3.28,18
FEDXA11,GRAIN,4/25/2022 19:34,4/25/2022 19:36,1.35,11
FEDXA11,GRAIN,4/25/2022 22:23,4/25/2022 22:24,1.35,10
FEDXA11,GRAIN,4/25/2022 23:47,4/25/2022 23:49,1.57,11
FEDXA11,GRAIN,4/26/2022 2:40,4/26/2022 2:41,1.18,10
FEDXA11,GRAIN,4/26/2022 4:52,4/26/2022 4:54,1.58,10
FEDXA11,PR,5/4/2022 0:53,5/4/2022 0:55,2,10
FEDXA11,PR,5/4/2022 16:28,5/4/2022 16:30,2.63,11
FEDXA11,PR,5/4/2022 17:31,5/4/2022 17:33,1.53,11
FEDXA11,PR,5/5/2022 8:39,5/5/2022 8:46,7.38,30
